ind	population	clust1_1	clust2_3	clust3_4	clust1_2	clust2_1	clust3_1	clust1_3	clust2_2	clust3_2	clust1_4	clust2_4	clust3_3
1	pop1	0	0	0	1	1	1	0	0	0	0	0	0
2	pop1	0	0	0	1	1	1	0	0	0	0	0	0
3	pop1	0	0	0	1	1	1	0	0	0	0	0	0
4	pop1	0	0	0	1	1	1	0	0	0	0	0	0
5	pop1	0	0	0	1	1	1	0	0	0	0	0	0
6	pop1	0	0	0	1	1	1	0	0	0	0	0	0
7	pop1	0	0	0	1	1	1	0	0	0	0	0	0
8	pop2	1	1	1	0	0	0	0	0	0	0	0	0
9	pop2	1	1	1	0	0	0	0	0	0	0	0	0
10	pop2	1	1	1	0	0	0	0	0	0	0	0	0
11	pop2	1	1	1	0	0	0	0	0	0	0	0	0
12	pop2	1	1	1	0	0	0	0	0	0	0	0	0
13	pop2	1	1	1	0	0	0	0	0	0	0	0	0
14	pop2	1	1	1	0	0	0	0	0	0	0	0	0
15	pop2	1	1	1	0	0	0	0	0	0	0	0	0
16	pop2	1	1	1	0	0	0	0	0	0	0	0	0
17	pop2	1	1	1	0	0	0	0	0	0	0	0	0
18	pop3	0	0	0	0	0.001	0.001	1	0.999	0.999	0	0	0
19	pop3	0	0	0	0	0.001	0.001	1	0.999	0.999	0	0	0
20	pop3	0	0	0	0	0.001	0.001	1	0.999	0.999	0	0	0
21	pop3	0	0	0	0	0.001	0.001	1	0.999	0.999	0	0	0
22	pop3	0	0	0	0	0.001	0.001	1	0.999	0.999	0	0	0
23	pop3	0	0	0	0	0.001	0.001	1	0.999	0.999	0	0	0
24	pop3	0	0	0	0	0	0.001	1	0.999	0.999	0	0	0
25	pop3	0	0	0	0	0.001	0.001	1	0.999	0.999	0	0	0
26	pop3	0	0	0	0	0.001	0.001	1	0.999	0.999	0	0	0
27	pop4	0	0	0	1	1	1	0	0	0	0	0	0
28	pop4	0	0	0	1	1	1	0	0	0	0	0	0
29	pop4	0	0	0	1	1	1	0	0	0	0	0	0
30	pop4	0	0	0	1	1	1	0	0	0	0	0	0
31	pop4	0	0	0	1	1	1	0	0	0	0	0	0
32	pop4	0	0	0	1	1	1	0	0	0	0	0	0
33	pop4	0	0	0	1	1	1	0	0	0	0	0	0
34	pop4	0	0	0	1	1	1	0	0	0	0	0	0
35	pop4	0	0	0	1	1	1	0	0	0	0	0	0
36	pop5	0	0	0	0	0	0	0	0	0	1	1	0.999
37	pop5	0	0	0	0	0	0	0	0	0	1	1	1
38	pop5	0	0	0	0	0	0	0	0	0	1	1	1
39	pop5	0	0	0	0	0	0	0	0	0	1	1	1
40	pop5	0	0	0	0	0	0	0	0	0	1	1	1
41	pop5	0	0	0	0	0	0	0	0	0	1	1	1
42	pop6	0.639	0.637	0.64	0	0.001	0.001	0.361	0.362	0.359	0	0	0
43	pop6	0.637	0.635	0.637	0	0.001	0.001	0.363	0.363	0.361	0	0	0
44	pop6	0.632	0.629	0.632	0	0.001	0.001	0.368	0.37	0.366	0	0	0
45	pop6	0.631	0.63	0.632	0	0.001	0.001	0.369	0.369	0.367	0	0	0
46	pop6	0.661	0.659	0.66	0	0.001	0.001	0.339	0.34	0.339	0	0	0
